TIMESTAMP 8-11-2019  18:0:45
k	@MtÍ*ÿ
Starting Test
 T1	T2	period	flow	freq	t
 [C]	[C]	[us]	[l/m]	[Hz]	[millis]
 nan 	nan 	0 	0.00 	0 	1518
 nan 	nan 	0 	0.00 	0 	3036
 nan 	nan 	0 	0.00 	0 	4553
 nan 	nan 	0 	0.00 	0 	6071
 nan 	nan 	0 	0.00 	0 	7589
 nan 	nan 	0 	0.00 	0 	9107
 nan 	nan 	0 	0.00 	0 	10625
 nan 	nan 	0 	0.00 	0 	12142
 nan 	nan 	0 	0.00 	0 	13661
 nan 	nan 	0 	0.00 	0 	15178
 nan 	nan 	0 	0.00 	0 	16696
 nan 	nan 	0 	0.00 	0 	18214
 nan 	nan 	0 	0.00 	0 	19732
 nan 	nan 	0 	0.00 	0 	21250
 nan 	nan 	0 	0.00 	0 	22767
 nan 	nan 	0 	0.00 	0 	24286
 nan 	nan 	0 	0.00 	0 	25803
 nan 	nan 	0 	0.00 	0 	27321
 nan 	nan 	0 	0.00 	0 	28839
 nan 	nan 	0 	0.00 	0 	30357
 nan 	nan 	0 	0.00 	0 	31875
 nan 	nan 	0 	0.00 	0 	33392
 nan 	nan 	0 	0.00 	0 	34911
 nan 	nan 	0 	0.00 	0 	36428
 nan 	nan 	0 	0.00 	0 	37946
 nan 	nan 	0 	0.00 	0 	39463
 nan 	nan 	0 	0.00 	0 	40982
 nan 	nan 	0 	0.00 	0 	42500
 nan 	nan 	0 	0.00 	0 	44017
 nan 	nan 	0 	0.00 	0 	45536
 nan 	nan 	0 	0.00 	0 	47053
 nan 	nan 	0 	0.00 	0 	48571
 nan 	nan 	0 	0.00 	0 	50088
 nan 	nan 	0 	0.00 	0 	51607
 nan 	nan 	0 	0.00 	0 	53125
 nan 	nan 	0 	0.00 	0 	54642
 nan 	nan 	0 	0.00 	0 	56161
 nan 	nan 	0 	0.00 	0 	57678
 nan 	nan 	0 	0.00 	0 	59196
 nan 	nan 	0 	0.00 	0 	60713
 nan 	nan 	0 	0.00 	0 	62232
 nan 	nan 	0 	0.00 	0 	63750
 nan 	nan 	0 	0.00 	0 	65267
 nan 	nan 	0 	0.00 	0 	66786
 nan 	nan 	0 	0.00 	0 	68303
 nan 	nan 	0 	0.00 	0 	69821
 nan 	nan 	0 	0.00 	0 	71339
 nan 	nan 	0 	0.00 	0 	72857
 nan 	nan 	0 	0.00 	0 	74375
 nan 	nan 	0 	0.00 	0 	75892
 nan 	nan 	0 	0.00 	0 	77411
 nan 	nan 	0 	0.00 	0 	78928
 nan 	nan 	0 	0.00 	0 	80446
 nan 	nan 	0 	0.00 	0 	81964
 nan 	nan 	0 	0.00 	0 	83482
 nan 	nan 	0 	0.00 	0 	85000
 nan 	nan 	0 	0.00 	0 	86517
 nan 	nan 	0 	0.00 	0 	88036
 nan 	nan 	0 	0.00 	0 	89553
 nan 	nan 	78540 	0.00 	0 	90036
 nan 	nan 	13072 	3.80 	76 	90215
 nan 	nan 	6783 	7.35 	147 	90373
 nan 	nan 	30896 	0.00 	0 	90616
 nan 	nan 	0 	0.00 	0 	92134
 nan 	nan 	0 	0.00 	0 	93651
 nan 	nan 	0 	0.00 	0 	95170
 nan 	nan 	0 	0.00 	0 	96688
 nan 	nan 	0 	0.00 	0 	98205
 nan 	nan 	0 	0.00 	0 	99724
 nan 	nan 	0 	0.00 	0 	101241
 nan 	nan 	0 	0.00 	0 	102759
 nan 	nan 	0 	0.00 	0 	104278
 nan 	nan 	0 	0.00 	0 	105795
 nan 	nan 	0 	0.00 	0 	107313
 nan 	nan 	16622 	3.00 	60 	107701
 nan 	nan 	481 	103.95 	2079 	107837
 nan 	nan 	427 	117.05 	2341 	107973
 nan 	nan 	426 	117.35 	2347 	108109
 nan 	nan 	409 	122.20 	2444 	108246
 nan 	nan 	512 	97.65 	1953 	108382
 nan 	nan 	705 	70.90 	1418 	108519
 nan 	nan 	814 	61.40 	1228 	108656
 nan 	nan 	986 	50.70 	1014 	108793
 nan 	nan 	1093 	45.70 	914 	108932
 nan 	nan 	1268 	39.40 	788 	109071
 nan 	nan 	1521 	32.85 	657 	109210
 nan 	nan 	1686 	29.65 	593 	109350
 nan 	nan 	1906 	26.20 	524 	109490
 nan 	nan 	2089 	23.90 	478 	109629
 nan 	nan 	2381 	20.95 	419 	109769
 nan 	nan 	2682 	18.60 	372 	109912
